UNIX_Time,UTC_Date,UTC_Time,Latitude,North-South,Longitude,East-West
1645151919.633624,180222,023836.00,3530.96347697,N,13932.71242999,E
1645151919.7343395,180222,023836.10,3530.96347697,N,13932.71242999,E
1645151919.8353407,180222,023836.20,3530.96348637,N,13932.71243034,E
1645151919.926525,180222,023836.30,3530.96349295,N,13932.71242059,E
1645151920.0265253,180222,023836.40,3530.96349295,N,13932.71242059,E
1645151920.1275263,180222,023836.50,3530.96349016,N,13932.71241245,E
1645151920.2278643,180222,023836.60,3530.96349016,N,13932.71241245,E
1645151920.328862,180222,023836.70,3530.96349591,N,13932.71240765,E
1645151920.4298615,180222,023836.80,3530.96349591,N,13932.71240765,E
1645151920.5298634,180222,023836.90,3530.96350285,N,13932.71240286,E
1645151920.6308625,180222,023837.00,3530.96350285,N,13932.71240286,E
1645151920.731009,180222,023837.10,3530.96350285,N,13932.71240286,E
1645151920.831279,180222,023837.20,3530.96350773,N,13932.71239524,E
1645151920.9320698,180222,023837.30,3530.96351361,N,13932.71238779,E
1645151921.0320706,180222,023837.40,3530.96351361,N,13932.71238779,E
1645151921.13307,180222,023837.50,3530.96351835,N,13932.71238308,E
1645151921.233816,180222,023837.60,3530.96351835,N,13932.71238308,E
1645151921.3348157,180222,023837.70,3530.96351900,N,13932.71238150,E
1645151921.426815,180222,023837.80,3530.96351900,N,13932.71238150,E
1645151921.5274572,180222,023837.90,3530.96352173,N,13932.71237711,E
1645151921.6278965,180222,023838.00,3530.96352173,N,13932.71237711,E
1645151921.7284493,180222,023838.10,3530.96352173,N,13932.71237711,E
1645151921.8286722,180222,023838.20,3530.96352672,N,13932.71237194,E
1645151921.929355,180222,023838.30,3530.96352936,N,13932.71236766,E
1645151922.0293,180222,023838.40,3530.96352936,N,13932.71236766,E
1645151922.1302998,180222,023838.50,3530.96353109,N,13932.71236498,E
1645151922.2308197,180222,023838.60,3530.96353109,N,13932.71236498,E
1645151922.33182,180222,023838.70,3530.96353536,N,13932.71236084,E
1645151922.4328203,180222,023838.80,3530.96353536,N,13932.71236084,E
1645151922.5324056,180222,023838.90,3530.96353888,N,13932.71235854,E
1645151922.6334333,180222,023839.00,3530.96353888,N,13932.71235854,E
1645151922.7338455,180222,023839.10,3530.96353888,N,13932.71235854,E
1645151922.8348832,180222,023839.20,3530.96354122,N,13932.71235641,E
1645151922.9349718,180222,023839.30,3530.96354549,N,13932.71235204,E
1645151923.025973,180222,023839.40,3530.96354549,N,13932.71235204,E
1645151923.1273367,180222,023839.50,3530.96354903,N,13932.71234888,E
1645151923.2276528,180222,023839.60,3530.96354903,N,13932.71234888,E
1645151923.3286796,180222,023839.70,3530.96355287,N,13932.71234920,E
1645151923.428652,180222,023839.80,3530.96355287,N,13932.71234920,E
1645151923.529679,180222,023839.90,3530.96355676,N,13932.71234830,E
1645151923.6306555,180222,023840.00,3530.96355676,N,13932.71234830,E
1645151923.730679,180222,023840.10,3530.96355676,N,13932.71234830,E
1645151923.832171,180222,023840.20,3530.96356238,N,13932.71234544,E
1645151923.9312663,180222,023840.30,3530.96356436,N,13932.71234321,E
1645151924.0322664,180222,023840.40,3530.96356436,N,13932.71234321,E
1645151924.1332657,180222,023840.50,3530.96356620,N,13932.71234310,E
1645151924.2332666,180222,023840.60,3530.96356620,N,13932.71234310,E
1645151924.3333294,180222,023840.70,3530.96356757,N,13932.71234198,E
1645151924.434328,180222,023840.80,3530.96356757,N,13932.71234198,E
1645151924.5253296,180222,023840.90,3530.96356953,N,13932.71233964,E
1645151924.6263297,180222,023841.00,3530.96356953,N,13932.71233964,E
1645151924.7274022,180222,023841.10,3530.96356953,N,13932.71233964,E
1645151924.8285875,180222,023841.20,3530.96357397,N,13932.71233689,E
1645151924.92865,180222,023841.30,3530.96357768,N,13932.71233589,E
1645151925.0296447,180222,023841.40,3530.96357768,N,13932.71233589,E
1645151925.130645,180222,023841.50,3530.96357974,N,13932.71233593,E
1645151925.2306433,180222,023841.60,3530.96357974,N,13932.71233593,E
